pub_date,author,bias,citation according to google scholar,specific_topic,hed_main,link,abstract,grouping,type,annotation,anno_title
2006_04_28,"Richler, et al.,",,167,mmr,Is there a 'regressive phenotype' of Autism Spectrum Disorder associated with the measles-mumps-rubella vaccine? A CPEA Study.,https://link.springer.com/article/10.1007%2Fs10803-005-0070-1,"A multi-site study of 351 children with Autism Spectrum Disorders (ASD) and 31 typically developing children used caregiver interviews to describe the children’s early acquisition and loss of social-communication milestones. For the majority of children with ASD who had experienced a regression, pre-loss development was clearly atypical. Children who had lost skills also showed slightly poorer outcomes in verbal IQ and social reciprocity, a later mean age of onset of autistic symptoms, and more gastrointestinal symptoms than children with ASD and no regression. There was no evidence that onset of autistic symptoms or of regression was related to measles-mumps-rubella vaccination. The implications of these findings for the existence of a ‘regressive phenotype’ of ASD are discussed.",aap,paper,,
2006_07_01,"Fombonne E, et al.,",,518,mmr,"Pervasive developmental disorders in Montreal, Quebec, Canada: prevalence and links with immunizations.",https://pediatrics.aappublications.org/content/118/1/e139,"BACKGROUND. The prevalence of pervasive developmental disorders has increased in recent years. Links with the measles component of the measles-mumps-rubella vaccine and the cumulative exposure to thimerosal through other vaccines have been postulated. OBJECTIVES. The purpose of this work was to estimate the pervasive developmental disorder prevalence in Montreal, Canada, in cohorts born from 1987 to 1998 and evaluate the relationship of trends in pervasive developmental disorder rates with: (1) changes in cumulative exposure to ethylmercury (thimerosal) occurring through modifications in the immunization schedule of young children and (2) trends in measles-mumps-rubella vaccination use rates and the introduction of a 2–measles-mumps-rubella dosing schedule during the study period. METHODS. We surveyed 27749 children born from 1987 to 1998 attending 55 schools from the largest Anglophone school board. Children with pervasive developmental disorders were identified by a special needs team. The cumulative exposure by age 2 years to thimerosal was calculated for 1987–1998 birth cohorts. Ethylmercury exposure ranged from medium (100–125 μg) from 1987 to 1991 to high (200–225 μg) from 1992 to 1995 to nil from 1996 onwards when thimerosal was entirely discontinued. Measles-mumps-rubella coverage for each birth cohort was estimated through surveys of vaccination rates. The immunization schedule included a measles-mumps-rubella single dose at 12 months of age up to 1995, and a second measles-mumps-rubella dose at 18 months of age was added on after 1996. RESULTS. We found 180 children (82.8% males) with a pervasive developmental disorder diagnosis who attended the surveyed schools, yielding a prevalence for pervasive developmental disorder of 64.9 per 10000. The prevalence for specific pervasive developmental disorder subtypes were, for autistic disorder: 21.6 of 10000; for pervasive developmental disorder not otherwise specified: 32.8 of 10000; and for Asperger syndrome: 10.1 of 10000. A statistically significant linear increase in pervasive developmental disorder prevalence was noted during the study period. The prevalence of pervasive developmental disorder in thimerosal-free birth cohorts was significantly higher than that in thimerosal-exposed cohorts (82.7 of 10000 vs 59.5 of 10000). Using logistic regression models of the prevalence data, we found no significant effect of thimerosal exposure used either as a continuous or a categorical variable. Thus, thimerosal exposure was unrelated to the increasing trend in pervasive developmental disorder prevalence. These results were robust when additional analyses were performed to address possible limitations because of the ecological nature of the data and to evaluate potential effects of misclassification on exposure or diagnosis. Measles-mumps-rubella vaccination coverage averaged 93% during the study interval with a statistically significant decreasing trend from 96.1% in the older birth cohorts (1988–89) to ∼92.4% in younger birth cohorts (1996–1998). Thus, pervasive developmental disorder rates significantly increased when measles-mumps-rubella vaccination uptake rates significantly decreased. In addition, pervasive developmental disorder prevalence increased at the same rate before and after the introduction in 1996 of the second measles-mumps-rubella dose, suggesting no increased risk of pervasive developmental disorder associated with a 2–measles-mumps-rubella dosing schedule before age 2 years. Results held true when additional analyses were performed to test for the potential effects of misclassification on exposure or diagnostic status. Thus, no relationship was found between pervasive developmental disorder rates and 1- or 2-dose measles-mumps-rubella immunization schedule. CONCLUSIONS. The prevalence of pervasive developmental disorder in Montreal was high, increasing in recent birth cohorts as found in most countries. Factors accounting for the increase include a broadening of diagnostic concepts and criteria, increased awareness and, therefore, better identification of children with pervasive developmental disorders in communities and epidemiologic surveys, and improved access to services. The findings ruled out an association between pervasive developmental disorder and either high levels of ethylmercury exposure comparable with those experienced in the United States in the 1990s or 1- or 2-dose measles-mumps-rubella vaccinations.",aap_cochrane,paper,,
2006_10_01,"D’Souza Y, et al.,",,92,mmr,No evidence of persisting measles virus in peripheral blood mononuclear cells from children with autism spectrum disorder.,https://www.ncbi.nlm.nih.gov/pubmed/17015560,"OBJECTIVES: Despite epidemiologic evidence to the contrary, claims of an association between measles-mumps-rubella vaccination and the development of autism have persisted. Such claims are based primarily on the identification of measles virus nucleic acids in tissues and body fluids by polymerase chain reaction. We sought to determine whether measles virus nucleic acids persist in children with autism spectrum disorder compared with control children. PATIENTS AND METHODS: Peripheral blood mononuclear cells were isolated from 54 children with autism spectrum disorder and 34 developmentally normal children, and up to 4 real-time polymerase chain reaction assays and 2 nested polymerase chain reaction assays were performed. These assays targeted the nucleoprotein, fusion, and hemagglutinin genes of measles virus using previously published primer pairs with detection by SYBR green I. Our own real-time assay targeted the fusion gene using novel primers and an internal fluorescent probe. Positive reactions were evaluated rigorously, and amplicons were sequenced. Finally, anti-measles antibody titers were measured by enzyme immunoassay. RESULTS: The real-time assays based on previously published primers gave rise to a large number of positive reactions in both autism spectrum disorder and control samples. Almost all of the positive reactions in these assays were eliminated by evaluation of melting curves and amplicon band size. The amplicons for the remaining positive reactions were cloned and sequenced. No sample from either autism spectrum disorder or control groups was found to contain nucleic acids from any measles virus gene. In the nested polymerase chain reaction and in-house assays, none of the samples yielded positive results. Furthermore, there was no difference in anti-measles antibody titers between the autism and control groups. INTERPRETATION: There is no evidence of measles virus persistence in the peripheral blood mononuclear cells of children with autism spectrum disorder.",aap,paper,,
2006_11_01,"Doja A, and Roberts W",,158,mmr,Immunizations and autism: a review of the literature.,https://www.cambridge.org/core/journals/canadian-journal-of-neurological-sciences/article/immunizations-and-autism-a-review-of-the-literature/16B999364BFFD9F0DA3B09F25C1DE28C,"Because of a temporal correlation between the first notable signs and symptoms of autism and the routine childhood vaccination schedule, many parents have become increasingly concerned regarding the possible etiologic role vaccines may play in the development of autism. In particular, some have suggested an association between the Measles-Mumps-Rubella vaccine and autism. Our literature review found very few studies supporting this theory, with the overwhelming majority showing no causal association between the Measles-Mumps-Rubella vaccine and autism. The vaccine preservative thimerosal has alternatively been hypothesized to have a possible causal role in autism. Again, no convincing evidence was found to support this claim, nor for the use of chelation therapy in autism. With decreasing uptake of immunizations in children and the inevitable occurrence of measles outbreaks, it is important that clinicians be aware of the literature concerning vaccinations and autism so that they may have informed discussions with parents and caregivers.",aap,paper,,
2006_12_31,Brian Deer,,,,MMR doctor given legal aid thousands,https://briandeer.com/mmr/st-dec-2006.htm,"ANDREW WAKEFIELD, the former surgeon whose campaign linking the MMR vaccine with autism caused a collapse in immunisation rates, was paid more than £400,000 by lawyers trying to prove that the vaccine was unsafe. The payments, unearthed by The Sunday Times, were part of £3.4m distributed from the legal aid fund to doctors and scientists who had been recruited to support a now failed lawsuit against vaccine manufacturers. Critics this weekend voiced amazement at the sums, which they said created a clear conflict of interest and were the “financial engine” behind a worldwide alarm over the triple measles, mumps and rubella shot. “These figures are astonishing,” said Dr Evan Harris, Liberal Democrat MP for Oxford West and Abingdon. “This lawsuit was an industry, and an industry peddling what turned out to be a myth.” According to the figures, released under the Freedom of Information Act, Wakefield was paid £435,643 in fees, plus £3,910 expenses. Wakefield’s work for the lawyers began two years before he published his now notorious report in The Lancet medical journal in February 1998, proposing a link between the vaccine and autism. This suggestion, followed by a campaign led by Wakefield, caused immunisation rates to slump from 92% to 78.9%, although they have since partly recovered. In March this year the first British child in 14 years died from measles. Later The Lancet retracted Wakefield’s claim and apologised after a Sunday Times investigation showed that his research had been backed with £55,000 from lawyers, and that the children in the study used as evidence against the vaccine were also claimants in the lawsuit. At the time Wakefield denied any conflict of interest and said that the money went to his hospital, not to him personally. No disclosure was made, however, of the vastly greater sums that he was receiving directly from the lawyers. The bulk of the amount in the new figures, released by the Legal Services Commission (LSC), covers an eight to 10-year period. All payments had to be approved by the courts. Those who received money include numerous Wakefield associates, business partners and employees who had acted as experts in the case. Five of his former colleagues at the Royal Free hospital, north London, under whose aegis The Lancet paper was written, received a total of £183,000 in fees, according to the LSC. Wakefield now runs a business in Austin, Texas, two of whose employees are listed as receiving a total of £112,000 in fees, while a Florida physician, who appointed the former surgeon as his “director of research”, was paid £21,600, the figures show. All have appeared in media reports as apparently confirming Wakefield’s claims. It is understood that the payments — for writing reports, attending meetings and in some cases carrying out research — were made at hourly rates varying between £120 and £200, or £1,000 a day. “There was a huge conflict of interest,” said Dr John March, an animal vaccine specialist who was among those recruited. “It bothered me quite a lot because I thought, well, if I’m getting paid for doing this, then surely it’s in my interest to keep it going as long as possible.” March, who the LSC allowed almost £90,000 to research an aspect of Wakefield’s theories, broke ranks this weekend to denounce both the science of the attack and the amount that the case had cost in lawyers’ and experts’ fees. “The ironic thing is they were always going on about how, you know, how we’ve hardly got any money compared with the other side, who are funded by large pharmaceutical companies. And I’m thinking, judging by the amounts of money you’re paying out, the other side must be living like millionaires,” he said. Also among those named as being paid from the legal aid fund was a referee for one of Wakefield’s papers, who was allowed £40,000. A private GP who runs a single vaccines clinic received £6,000, the LSC says. Following The Sunday Times investigation, immunisation rates have risen and the General Medical Council launched an inquiry. This is due to culminate in a three-month hearing next summer, where Wakefield faces charges — which he denies — of dishonesty over his research. The LSC is also unlikely to escape criticism. Three years ago the commission, which administers a £2 billion budget to give poor people access to justice, acknowledged that the attempt to make a case against MMR with taxpayers’ money was “not effective or appropriate”. The total cost for the attack on the vaccine was £14,053,856, plus Vat. Following media campaigning, lawyers eventually registered 1,600 claimants in the lawsuit. None received any money. This weekend Earl Howe, a Conservative party health spokesman, called for a parliamentary inquiry. “It’s astonishing,” he said. “This is crying out for select committee scrutiny.” Wakefield said in a statement that he had worked on the lawsuit for nine years, charged at a recommended rate, and gave money to charity. “This work involved nights, weekends and much of my holidays, such that I saw little of my family during this time,” he said. “I believed and still believe in the just cause of the matter under investigation.”",aap_cochrane,paper,"In 2006, reporting emerges that the £55K that Wakefield received from trial lawyers was actually £435,643, plus expenses.","Unethical research, the return"
2007_02_01,"Uchiyama T, et al.",,69,mmr,MMR-vaccine and regression in autism spectrum disorders: negative results presented from Japan.,https://link.springer.com/article/10.1007/s10803-006-0157-3,"It has been suggested that the measles, mumps, and rubella vaccine (MMR) is a cause of regressive autism. As MMR was used in Japan only between 1989 and 1993, this time period affords a natural experiment to examine this hypothesis. Data on 904 patients with autism spectrum disorders (ASD) were analyzed. During the period of MMR usage no significant difference was found in the incidence of regression between MMR-vaccinated children and non-vaccinated children. Among the proportion and incidence of regression across the three MMR-program-related periods (before, during and after MMR usage), no significant difference was found between those who had received MMR and those who had not. Moreover, the incidence of regression did not change significantly across the three periods.",aap_cochrane,paper,,
2008_10_01,"Baird G, et al.",,83,mmr,Measles vaccination and antibody response in autism spectrum disorders.,https://www.researchgate.net/publication/5599021_Measles_vaccination_and_antibody_response_in_autism_spectrum_disorder,"To test the hypothesis that measles vaccination was involved in the pathogenesis of autism spectrum disorders (ASD) as evidenced by signs of a persistent measles infection or abnormally persistent immune response shown by circulating measles virus or raised antibody titres in children with ASD who had been vaccinated against measles, mumps and rubella (MMR) compared with controls. Case-control study, community based. A community sample of vaccinated children aged 10-12 years in the UK with ASD (n = 98) and two control groups of similar age, one with special educational needs but no ASD (n = 52) and one typically developing group (n = 90), were tested for measles virus and antibody response to measles in the serum. No difference was found between cases and controls for measles antibody response. There was no dose-response relationship between autism symptoms and antibody concentrations. Measles virus nucleic acid was amplified by reverse transcriptase-PCR in peripheral blood mononuclear cells from one patient with autism and two typically developing children. There was no evidence of a differential response to measles virus or the measles component of the MMR in children with ASD, with or without regression, and controls who had either one or two doses of MMR. Only one child from the control group had clinical symptoms of possible enterocolitis. No association between measles vaccination and ASD was shown.",aap,paper,,
2008_09_04,"Hornig M et al.,",,154,mmr,Lack of Association between Measles Virus Vaccine and Autism with Enteropathy: A Case-Control Study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0003140,"The presence of measles virus (MV) RNA in bowel tissue from children with autism spectrum disorders (ASD) and gastrointestinal (GI) disturbances was reported in 1998. Subsequent investigations found no associations between MV exposure and ASD but did not test for the presence of MV RNA in bowel or focus on children with ASD and GI disturbances. Failure to replicate the original study design may contribute to continued public concern with respect to the safety of the measles, mumps, and rubella (MMR) vaccine. The objective of this case-control study was to determine whether children with GI disturbances and autism are more likely than children with GI disturbances alone to have MV RNA and/or inflammation in bowel tissues and if autism and/or GI episode onset relate temporally to receipt of MMR. The sample was an age-matched group of US children undergoing clinically-indicated ileocolonoscopy. Ileal and cecal tissues from 25 children with autism and GI disturbances and 13 children with GI disturbances alone (controls) were evaluated by real-time reverse transcription (RT)-PCR for presence of MV RNA in three laboratories blinded to diagnosis, including one wherein the original findings suggesting a link between MV and ASD were reported. The temporal order of onset of GI episodes and autism relative to timing of MMR administration was examined. We found no differences between case and control groups in the presence of MV RNA in ileum and cecum. Results were consistent across the three laboratory sites. GI symptom and autism onset were unrelated to MMR timing. Eighty-eight percent of ASD cases had behavioral regression. This study provides strong evidence against association of autism with persistent MV RNA in the GI tract or MMR exposure. Autism with GI disturbances is associated with elevated rates of regression in language or other skills and may represent an endophenotype distinct from other ASD.",aap,paper,,
2009_02_08,Brian Deer,,,,MMR doctor fixed data on autism,https://briandeer.com/solved/st-fixed-data.htm,"THE doctor who sparked the scare over the safety of the MMR vaccine for children changed and misreported results in his research, creating the appearance of a possible link with autism, a Sunday Times investigation has found. Confidential medical documents and interviews with witnesses have established that Andrew Wakefield manipulated patients’ data, which triggered fears that the MMR triple vaccine to protect against measles, mumps and rubella was linked to the condition. The research was published in February 1998 in an article in The Lancet medical journal. It claimed that the families of eight out of 12 children attending a routine clinic at the hospital had blamed MMR for their autism, and said that problems came on within days of the jab. The team also claimed to have discovered a new inflammatory bowel disease underlying the children’s conditions. However, our investigation, confirmed by evidence presented to the General Medical Council (GMC), reveals that: In most of the 12 cases, the children’s ailments as described in The Lancet were different from their hospital and GP records. Although the research paper claimed that problems came on within days of the jab, in only one case did medical records suggest this was true, and in many of the cases medical concerns had been raised before the children were vaccinated. Hospital pathologists, looking for inflammatory bowel disease, reported in the majority of cases that the gut was normal. This was then reviewed and the Lancet paper showed them as abnormal. Despite involving just a dozen children, the 1998 paper’s impact was extraordinary. After its publication, rates of inoculation fell from 92% to below 80%. Populations acquire “herd immunity” from measles when more than 95% of people have been vaccinated. Last week official figures showed that 1,348 confirmed cases of measles in England and Wales were reported last year, compared with 56 in 1998. Two children have died of the disease. With two professors, John Walker-Smith and Simon Murch, Wakefield is defending himself against allegations of serious professional misconduct brought by the GMC. The charges relate to ethical aspects of the project, not its findings. All three men deny any misconduct. Through his lawyers, Wakefield this weekend denied the issues raised by our investigation, but declined to comment further.",aap_cochrane,paper,"More reporting emerges, revealing that data for 12 of the 12 children that Wakefield included in his study was misrepresented to make vaccines appear responsible.",REALLY unethical research
2010_05_01,"Budzyn D, et al., ",,111,mmr,Lack of association between measles-mumps-rubella vaccination and autism in children: a case-control study.,https://pdfs.semanticscholar.org/775d/a586d34853eb7bf9801764b1a078f303e18c.pdf?_ga=2.247012868.1415344830.1559148035-2139514583.1559148035,"Objective: The first objective of the study was to determine whether there is a relationship between the measles-mumps-rubella (MMR) vaccination and autism in children. The second objective was to examine whether the risk of autism differs between use of MMR and the single measles vaccine. Design: Case-control study. Study Population: The 96 cases with childhood or atypical autism, aged 2 to 15, were included into the study group. Controls consisted of 192 children individually matched to cases by year of birth, sex, and general practitioners. Methods: Data on autism diagnosis and vaccination history were from physicians. Data on the other probable autism risk factors were collected from mothers. Logistic conditional regression was used to assess the risk of autism resulting from vaccination. Assessment was made for children vaccinated (1) Before diagnosis of autism, and (2) Before first symptoms of autism onset. Odds ratios were adjusted to mother’s age, medication during pregnancy, gestation time, perinatal injury and Apgar score. Results: For children vaccinated before diagnosis, autism risk was lower in children vaccinated with MMR than in the nonvaccinated (OR: 0.17, 95% CI: 0.06 – 0.52) as well as to vaccinated with single measles vaccine (OR: 0.44, 95% CI: 0.22– 0.91). The risk for vaccinated versus nonvaccinated (independent of vaccine type) was 0.28 (95% CI: 0.10 – 0.76). The risk connected with being vaccinated before onset of first symptoms was significantly lower only for MMR versus single vaccine (OR: 0.47, 95% CI: 0.22– 0.99). Conclusions: The study provides evidence against the association of autism with either MMR or a single measles vaccine.",aap_cochrane,paper,,
2015_04_21,"Jain A, Marshall J, Buikema A, Bancroft T, Kelly JP, Newschaffer CJ",,137,mmr,Autism occurrence by MMR vaccine status among US children with older siblings with and without autism.,https://jamanetwork.com/journals/jama/fullarticle/2275444,"Importance: Despite research showing no link between the measles-mumps-rubella (MMR) vaccine and autism spectrum disorders (ASD), beliefs that the vaccine causes autism persist, leading to lower vaccination levels. Parents who already have a child with ASD may be especially wary of vaccinations. Objective: To report ASD occurrence by MMR vaccine status in a large sample of US children who have older siblings with and without ASD. Design, Setting, and Participants: A retrospective cohort study using an administrative claims database associated with a large commercial health plan. Participants included children continuously enrolled in the health plan from birth to at least 5 years of age during 2001-2012 who also had an older sibling continuously enrolled for at least 6 months between 1997 and 2012. Exposures: MMR vaccine receipt (0, 1, 2 doses) after 1 year of age. Main Outcomes and Measures: ASD status defined as 2 claims with a diagnosis code in any position for autistic disorder or other specified pervasive developmental disorder (PDD) including Asperger syndrome, or unspecified PDD (International Classification of Diseases, Ninth Revision, Clinical Modification 299.0x, 299.8x, 299.9x). Results: Of 95 727 children with older siblings, 994 (1.04%) were diagnosed with ASD and 1929 (2.02%) had an older sibling with ASD. Of those with older siblings with ASD, 134 (6.9%) had ASD, vs 860 (0.9%) children with unaffected siblings (P < .001). MMR vaccination rates (≥1 dose) were 84% (n = 78 549) at age 2 years and 92% (n = 86 063) at age 5 years for children with unaffected older siblings, vs 73% (n = 1409) at age 2 years and 86% (n = 1660) at age 5 years for children with affected siblings. MMR vaccine receipt was not associated with an increased risk of ASD at any age. For children with older siblings with ASD, at age 2, the adjusted relative risk (RR) of ASD for 1 dose of MMR vaccine vs no vaccine was 0.76 (95% CI, 0.48-1.22; P = .25), and at age 5, the RR of ASD for 2 doses compared with no vaccine was 0.56 (95% CI, 0.30-1.04; P = .07). For children whose older siblings did not have ASD, at age 2, the adjusted RR of ASD for 1 dose was 0.91 (95% CI, 0.68-1.20; P = .50) and at age 5, the RR of ASD for 2 doses was 1.09 (95% CI, 0.76-1.54; P = .65). Conclusions and Relevance: In this large sample of privately insured children with older siblings, receipt of the MMR vaccine was not associated with increased risk of ASD, regardless of whether older siblings had ASD. These findings indicate no harmful association between MMR vaccine receipt and ASD even among children already at higher risk for ASD.",aap_cochrane,paper,,
2015_05_01,"Uno Y, Uchiyama T, Kurosawa M, Aleksic B, Ozaki N ",,41,mmr,Early exposure to the combined measles-mumps-rubella vaccine and thimerosal-containing vaccines and risk of autism spectrum disorder.,https://www.researchgate.net/publication/273955070_Early_exposure_to_the_combined_measles-mumps-rubella_vaccine_and_thimerosal-containing_vaccines_and_risk_of_autism_spectrum_disorder,"This case-control study investigated the relationship between the risk of Autism Spectrum Disorder (ASD) onset, and early exposure to the combined Measles-Mumps-Rubella (MMR) vaccine and thimerosal consumption measured from vaccinations in the highly genetically homogenous Japanese population. Vaccination histories at 1, 3, 6, 12, 18, 24, and 36 months from birth were investigated in ASD cases (189 samples), and controls (224 samples) matching age and sex in each case. Crude odds ratios (ORs) and 95% confidence intervals (95% CIs) were calculated to determine relationship between MMR vaccination and ASD. The differences in mean values of the thimerosal dosage between cases and controls were analyzed using an unpaired t-test. MMR vaccination and thimerosal dosage were also investigated using a conditional multiple-regression model. There were no significant differences in MMR vaccination and thimerosal dosage between cases and controls at any age. Furthermore, the ORs (95% CIs) of MMR vaccination and thimerosal dosage associated with ASD in the conditional multiple regression model were, respectively, 0.875 (0.345-2.222) and 1.205 (0.862-1.683) at age 18 months, 0.724 (0.421-1.243) and 1.343 (0.997-1.808) at 24 months, and 1.040 (0.648-1.668) and 0.844 (0.632-1.128) at 36 months. Thus, there were no significant differences. No convincing evidence was found in this study that MMR vaccination and increasing thimerosal dose were associated with an increased risk of ASD onset. Copyright © 2014 Elsevier Ltd. All rights reserved.",aap_cochrane,paper,,
2014_06_01,"Taylor LE, Swerdfeger AL, Eslick GD",,349,mmr,Vaccines are not associated with autism: an evidence-based meta-analysis of case-control and cohort studies.,https://vaccinepapers.org/wp-content/uploads/Vaccines-are-not-associated-with-autism-An-evidence-based-meta-analysis-of-case-control-and-cohort-studies.pdf,"There has been enormous debate regarding the possibility of a link between childhood vaccinations and the subsequent development of autism. This has in recent times become a major public health issue with vaccine preventable diseases increasing in the community due to the fear of a ‘link’ between vaccinations and autism.We performed a meta-analysis to summarise available evidence from case-control and cohort studies on this topic (MEDLINE, PubMed, EMBASE, Google Scholar up to April, 2014). Eligible studies assessed the relationship between vaccine administration and the subsequent development of autism or autism spectrum disorders (ASD). Two reviewers extracted data on study characteristics, methods, and outcomes. Disagreement was resolved by consensus with another author. Five cohort studies involving 1,256,407 children, and five case-control studies involving 9,920 children were included in this analysis. The cohort data revealed no relationship between vaccination and autism (OR: 0.99; 95% CI: 0.92 to 1.06) or ASD (OR: 0.91; 95% CI: 0.68 to 1.20), nor was there a relationship between autism and MMR (OR: 0.84; 95% CI: 0.70 to 1.01), or thimerosal (OR: 1.00; 95% CI: 0.77 to 1.31), or mercury (Hg) (OR: 1.00; 95% CI: 0.93 to 1.07). Similarly the case-control data found no evidence for increased risk of developing autism or ASD following MMR, Hg, or thimerosal exposure when grouped by condition (OR: 0.90, 95% CI: 0.83 to 0.98; p = 0.02) or grouped by exposure type (OR: 0.85, 95% CI: 0.76 to 0.95; p = 0.01). Findings of this meta-analysis suggest that vaccinations are not associated with the development of autism or autism spectrum disorder. Furthermore, the components of the vaccines (thimerosal or mercury) or multiple vaccines (MMR) are not associated with the development of autism or autism spectrum disorder",aap_cochrane,paper,,
